Country Name,Country Code,Indicator Name,Indicator Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bangladesh,BGD,Arable land (% of land area),AG.LND.ARBL.ZS,72.64346624,72.09802566,66.13659061,65.34531766,64.59245602,64.56172697,64.20066067,64.45417531,64.94584006,64.80755935,64.14688484,63.78581854,63.40170546,63.20964892,62.55665668,60.77437198,60.53622186,60.04455712,59.94468772,59.89091188,59.85250058,58.98440501,58.92294692,58.98440501,58.91526465,59.40109088,59.64669279,59.59383883,59.70884228,61.20457863,61.45809326,62.30314205,..
Bangladesh,BGD,"Annual freshwater withdrawals, agriculture (% of total freshwater withdrawal)",ER.H2O.FWAG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,87.81711737,87.81711737,87.81711737,87.81711737,87.81711737,87.81711737,87.81711737,87.81711737,87.81711737,87.81711737,87.81711737,87.81711737,87.81711737,..,..
Bangladesh,BGD,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34.16190476,34.16190476,34.16190476,34.16190476,34.16190476,34.16190476,34.16190476,34.16190476,34.16190476,34.16190476,34.16190476,34.16190476,34.16190476,..,..
Bangladesh,BGD,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,35.87,35.87,35.87,35.87,35.87,35.87,35.87,35.87,35.87,35.87,35.87,35.87,35.87,..,..
Bangladesh,BGD,Investment in water and sanitation with private participation (current US$),IE.PPI.WATR.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,327000000,72000000,..,..,..
Bangladesh,BGD,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,..,..,..,..,..,..,..,..,..,..,94.81892121,94.99368594,95.17376963,95.35256256,95.52997248,95.70895752,95.88471178,96.05709845,96.2259786,96.39123318,96.55282537,96.71059726,96.86438458,97.01406183,97.15966368,97.30110109,97.43839091,97.57149329,97.70041155,97.82513657,97.94567602,98.03301971,98.09706298
Bangladesh,BGD,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,..,..,..,..,..,..,..,..,..,..,24.51319035,26.07059753,27.6554494,29.23186766,30.79929845,32.44318376,34.08752509,35.73090119,37.37191663,39.00921249,40.64186732,42.2683391,43.88689272,45.49616346,47.09553667,48.68381585,50.26029221,51.82403595,53.37426479,54.91023996,56.43123343,57.93662462,59.29519147
Bangladesh,BGD,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS,..,..,..,..,..,..,..,..,..,..,55.31870083,55.32511609,55.30371515,55.27874715,55.25035294,55.21885007,55.18367364,55.14496823,55.10287513,55.05754576,55.00858639,54.95632277,55.30369245,55.66687813,56.04547782,56.44019783,56.85079903,57.27760142,57.72074495,58.18021327,58.65599777,59.1298464,59.10929532
Bangladesh,BGD,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS,..,..,..,..,..,..,..,..,..,..,11.0465157,11.7415265,12.45785625,13.17340431,13.88794175,14.60459034,15.32344548,16.0442555,16.76500767,17.48508201,18.2042186,18.92166074,19.63638733,20.34758401,21.50997925,22.70013176,23.91708286,25.15955384,26.42637731,27.71641782,29.02851262,30.15469977,30.97619383
Bangladesh,BGD,People with basic handwashing facilities including soap and water (% of population),SH.STA.HYGN.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.96052675,20.18406297,20.41138865,20.64218719,20.87614253,24.42005112,27.93989743,31.43384137,34.90063419,38.34090291,41.75359819,45.13910166,48.49695932,51.82702067,55.12933244,58.40395244,61.65072984,61.72853743
Bangladesh,BGD,Public private partnerships investment in water and sanitation (current US$),IE.PPN.WATR.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,327000000,72000000,..,..,..
Bangladesh,BGD,Renewable internal freshwater resources per capita (cubic meters),ER.H2O.INTR.PC,979.9561541,961.1614433,943.6327535,925.7727979,908.1875102,891.3916677,875.8987597,860.3791047,844.387634,828.3708398,812.7354751,797.4452346,782.7652915,769.2127026,756.5401545,745.1427867,736.1765448,728.4789926,722.0399419,715.713197,707.5894201,699.0166932,690.3777497,681.6847708,673.2439437,665.2727618,657.1347992,648.9735303,641.4800893,634.378907,627.1616508,..,..
Bangladesh,BGD,"Renewable internal freshwater resources, total (billion cubic meters)",ER.H2O.INTR.K3,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,..,..
Bangladesh,BGD,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS,30.4898331,31.67702324,30.51752524,27.32108582,26.72553755,27.3043698,23.26620805,23.24614375,22.58741576,22.65841112,22.71814808,21.84834058,20.58413442,19.8127183,19.26695957,18.57103955,18.03401651,17.80653678,17.59569554,17.10462905,17.00118126,16.80998676,16.17756317,15.493278,15.3516209,14.78299644,13.46479232,12.95727604,12.48007719,11.97532192,11.99968686,11.63285843,11.21760104
Bangladesh,BGD,"Agriculture, forestry, and fishing, value added (annual % growth)",NV.AGR.TOTL.KD.ZG,9.211673781,2.129153236,2.323351117,2.389076739,0.737008392,-0.372499007,2.967581283,4.518572147,3.93540914,3.881541663,7.390266092,2.757926823,-0.118901139,3.983851121,4.973513596,4.382454979,5.552717783,6.692496277,4.493867872,3.466088471,6.151947121,4.456368994,3.014271413,2.464887536,4.371870053,3.328381063,2.786267951,3.196007227,3.544539901,3.260577684,3.420947932,3.174571822,3.053950554
Bangladesh,BGD,Employment in agriculture (% of total employment) (modeled ILO estimate),SL.AGR.EMPL.ZS,..,64.02931,63.93872,63.72837,63.54171,63.27062,62.87864,62.42382,61.89855,61.38416,60.80127,57.97989,54.96515,51.73496,49.96922,48.07627,48.07571,47.8953,47.7229,47.53321,47.30638,46.66772,45.91011,45.09919,44.38585,43.54638,42.66475,40.5973,39.42393,38.32538,37.87102,37.09001,..
Bangladesh,BGD,Agricultural irrigated land (% of total agricultural land),AG.LND.IRIG.AG.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,51.34613322,51.12232843,52.61853448,..,..,..,..,..,..,57.91118776,57.96137339,57.74709993,57.6849728,57.80576552,57.71726237,78.77836305,79.3614021,78.9034565,..
Bangladesh,BGD,Agricultural land (% of land area),AG.LND.AGRI.ZS,79.78796958,79.28094031,73.35791657,72.56664362,71.89060459,72.01352078,71.65245448,71.94438043,72.47445648,72.87393409,72.21325958,72.23630637,71.85219329,71.66013674,71.62172544,71.5295383,71.29138818,71.18383652,71.08396712,71.03019129,70.99177998,70.12368441,70.0852731,71.27602366,71.59867865,72.47630022,73.11369747,73.45263886,73.95943766,75.83928709,76.26949374,77.34501037,..
Bangladesh,BGD,Agricultural land (sq. km),AG.LND.AGRI.K2,103860,103200,95490,94460,93580,93740,93270,93650,94340,94860,94000,94030,93530,93280,93230,93110,92800,92660,92530,92460,92410,91280,91230,92780,93200,94342.4,95172.1,95613.3,96273,98720,99280,100680,..
Bangladesh,BGD,"Agricultural machinery, tractors per 100 sq. km of arable land",AG.LND.TRAC.ZS,2.305414552,2.184336708,2.236032059,2.116153304,1.992150333,1.844359829,1.675242312,1.549463647,1.419446416,1.280227596,1.19760479,1.083945562,0.969344481,0.850753525,0.552621884,1.965617495,3.807106599,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,Fertilizer consumption (kilograms per hectare of arable land),AG.CON.FERT.ZS,98.73329103,107.0218434,116.0137066,111.1665883,124.8057802,142.1941932,147.2448247,132.205006,138.4551692,161.8895211,158.1075449,174.5902686,188.6391615,160.2668935,170.6713742,197.7487043,193.1901015,184.4110798,200.0640779,188.8528733,212.9639327,255.764522,260.4432855,254.6001563,279.2202373,298.9664056,289.4022702,303.7127465,318.4668631,316.021087,320.9125,384.2096178,..
Bangladesh,BGD,Forest area (% of land area),AG.LND.FRST.ZS,14.75247753,14.75247599,14.75247446,14.75247292,14.75247138,14.75246985,14.75246908,14.75246754,14.75246601,14.75246447,14.75246293,14.72789045,14.70331797,14.67874549,14.654173,14.62960052,14.60502804,14.58045556,14.55588308,14.53130983,14.50673734,14.4991442,14.49155105,14.4839579,14.47636475,14.46877161,14.46877161,14.46877161,14.46877161,14.46877161,14.46877161,14.46877161,..
Bangladesh,BGD,Land area (sq. km),AG.LND.TOTL.K2,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,130170,..
Bangladesh,BGD,Population density (people per sq. km of land area),EN.POP.DNST,823.136291,839.232035,854.8214028,871.3125682,888.1838442,904.9192441,920.9254667,937.5372667,955.2928555,973.7637244,992.4969425,1011.527111,1030.497242,1048.653346,1066.218983,1082.527387,1095.712,1107.289959,1117.164616,1127.040101,1139.979558,1153.960244,1168.400161,1183.299831,1198.135507,1212.491357,1227.50686,1242.943566,1257.462995,1271.538926,1286.171553,1301.039034,..
Bangladesh,BGD,Terrestrial protected areas (% of total land area),ER.LND.PTLD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.61,4.605962812,4.605962812,4.605963,4.605963,4.605962753,4.6059628
Bangladesh,BGD,Permanent cropland (% of land area),AG.LND.CROP.ZS,2.535146347,2.573557655,2.611968964,2.611968964,2.68879158,2.842436813,2.842436813,2.880848122,2.91925943,3.457017746,3.457017746,3.841130829,3.841130829,3.841130829,4.455711762,6.145809326,6.145809326,6.529922409,6.529922409,6.529922409,6.529922409,6.529922409,6.552969194,7.682261658,8.074057002,8.465852347,8.857647691,9.249443036,9.641238381,10.02535146,10.20204348,10.43251133,..
Bangladesh,BGD,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.584694259,..,..,..,..,..,..,..,..,..,..,..,..,..
Bangladesh,BGD,Population growth (annual %),SP.POP.GROW,2.126059061,1.936544001,1.840533183,1.910821228,1.917797956,1.866695332,1.753339984,1.787740166,1.876144029,1.915074298,1.905524049,1.899252681,1.85802653,1.746536801,1.661191643,1.517975111,1.210589941,1.051117194,0.887833017,0.880093476,1.141551337,1.218938691,1.243571246,1.267157297,1.245960208,1.191061127,1.230795354,1.249724066,1.161378463,1.11317249,1.14420974,1.149318476,1.074836743
Bangladesh,BGD,Urban population (% of total population),SP.URB.TOTL.IN.ZS,19.811,20.257,20.61,20.966,21.328,21.693,22.064,22.438,22.818,23.202,23.59,24.096,24.756,25.429,26.114,26.809,27.517,28.237,28.968,29.709,30.462,31.225,31.993,32.762,33.535,34.308,35.083,35.858,36.632,37.405,38.177,38.946,39.711
Bangladesh,BGD,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4.88867648,4.888648581,4.888648581,4.88855578,4.88855578,4.88855578,4.88855578
Bangladesh,BGD,Marine protected areas (% of territorial waters),ER.MRN.PTMR.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5.356940135,5.3571902,5.3571902,5.356943,5.356943,5.356942654,5.3569427
